Name,Dialog
Jeremy,"(His earlier voice mail) Hey, it's me. So I was trying to tell you before, but we kept breaking up. Sorry, I missed you at the airport. I got caught up with my band, but I can't wait for you to hear the song we recorded. I wrote it just for you. Call me when you can. I miss you."
Jeremy,"Oh, it's an old mini safe of mine that I found in the back of my closet. I've had it for ages, but I haven't used it in so long that I forgot the combination. I thought your brothers could open it. I figured that's a ""safe"" bet. Heh heh!"
Jeremy,"Hey, Candace. Umm, so listen. I'm really sorry, but something's come up and I won't be able to make it to our date tonight. I hope you understand. (Candace doesn't respond) Hello? ...Candace, are you there? ...Hello?...Helloo? Well, I guess we got cut off."
Jeremy,"Really? She told me the same thing about you. Anyway, I'm over at the Sci-Fi Fantasy convention with little Suzy. She's really into the kids stuff. You know, like Sea-Horsie Hospital, or you know, lame stuff like Ducky Momo. (Seeing a person in a Ducky Momo costume) Ooh."
Jeremy,"Oh, he's part of a team that makes and manages reconnaissance satellites. They actually had a couple of rovers on Mars earlier this summer. But they suddenly stopped working. You wouldn't know anything about that, would you?"
Jeremy,"And finally, after a very exotic day, our monotreme takes a moment to not do much. Grabbing a well-earned cuddle with everyone's favorite hard-working assistant/producer/girlfriend. Oh! Gotta charge my phone!"
Jeremy,"You know, it's a little unusual...here we are sitting in the very heart of a giant soccer stadium your brothers built in your yard...and you haven't once shown any desire to bust them."
Jeremy,"Hey, wait a second! I call you Candace, but not because I don't care enough to come up with a cute nickname for you! I call you Candace 'cause... I happen to really like that name."
Jeremy,Nah. I came to see this hot new band called PFT. I downloaded their song this morning. It's tight! The hundredth contestant gets to sing onstage with the band!
Jeremy,Wait. You're Gary Frank! You were the most popular senior two years in a row! Dude. You gotta join us for a pizza break. It'll be fun to catch up and talk.
Jeremy,"Wow! You guys are the best! This was truly an amazing day! It's too bad Candace missed the whole thing. And, Ferb, where did you learn to serve like that?"
Jeremy,"Then you shouldn't let your brothers' fun ruin your good time. You know, if you get a chance to sing, you oughta sing. I gotta go, I'll see you later. (Walks away)"
Jeremy,"Well, I guess he's really gone, Suzy. You got to admit, he was a lot of trouble. But deep down, I'm gonna miss that big guy. Come on, let's go inside."
Jeremy,"Eh...both. She said something about going to find the ""other Candace"" and-and Mom and then she went all wild when I mentioned stopping by tonight."
Jeremy,"Oh, no. Their platypus doesn't do much. (Perry jumps out of the building and takes a plunger and sticks it onto the bottom of the ""nose"" of the building.) Well, let's take another shot at learning this solo. (Doof plays the riff better.) Hey, doc, not bad. I think you might be getting it!"
Jeremy,(Laughs) What do you know? Some sort of reptile hopping around. Hi little hopping reptile. Hi little jumping chameleon. Hi little springing salamander.
Jeremy,"It's a day in the life of an exotic animal, and Perry's the most exotic animal I know. So it's you and me documenting Perry all afternoon."
Jeremy,"We can't let a little rain put a damper on our-- wow! (Sees the biosphere, and Candace panics) I guess your brothers have been busy, huh? Oh, we should have our picnic in there!"
Jeremy,"What are you two doing here? I mean, not that I don't like surprise visits from you, but this room is for Slushy Dawg employees only."
Jeremy,Have you seen the fancy dancing on the show? I can fake it in the school auditorium. Just not on a nationally syndicated dance show.
Jeremy-2,We should really get out of here while we can. (he hands her a pair of sunglasses) Most of the Normbots are away in the other dimension. We can slip away pretty easily.
Jeremy,My mom told me to bring over these homegrown veggies for your family. You know; she and your mom are doing that jazz thing today.
Jeremy,"(comes over with a gift box) Hey, Candace! I had a break, and I, uh, I thought I'd give you this for your birthday. (Gives her the box, she opens it) I saw you looking at it in the gift shop."
Jeremy,"Candace, since I have no idea what will happen next, I need to tell you something. (He kneels down and holds onto Candace's hand.) I love you, Candace Flynn. Will you marry me?"
Jeremy,(enters) Wow! A party in the lake? I never would have thought of that! You come up with the best ideas! We can go to the mall tomorrow.
Jeremy,"Let me guess, you had your brothers build me something super cool for my birthday and now it disappeared. It's okay, I get it."
Jeremy,"Yeah, the Tooth Fairy never visited me when I was a kid. (pause) Anyway...could you give this to your brothers? I gotta rush to work."
Jeremy,"It was this crazy contraption doing all those dance moves. If you wanna see what a real dancer looks like, then here you go!"
Jeremy,"Candace, I love having some kid's feet in my face as much as the next guy. But how about we just go grab a Slushy Burger?"
Jeremy,"Yes, I am totally messing with you. Now, would you please knock off the phony British stuff and go back to being my girl?"
Jeremy,"Hey, in a minute Candace. I'm right in the middle here. I was thinking maybe you could help me finish decorating. First."
Jeremy,I remember you loved them in that magazine. And you were even gonna have your good necklace made into a pair like them.
Jeremy,"Hey, Candace. My mom played me some of their CD. Your singing is awesome! How'd you get your voice to sound like that?"
Jeremy,"But...but... I was just gonna ask him to clean the bathroom. (walks up to a female employee) Um, Dolores, this is the part of the job I hate the most."
Jeremy,"Oh, Candace, you made it. I was thinking you weren't gonna show. Although, you know, usually we get on at the bottom."
Jeremy,"Thomas got me two touchdowns, twenty-three points last week, and 189 yards. I'm in first place in my keeper league."
Jeremy,"Hey, Candace. I just finished my side of the house and I'm heading home. It was nice hanging out with you all day."
Jeremy,"Listen, I got called into work and my parents aren't home, do you think you could look after Suzy for a few hours?"
Jeremy,"Yeah, took her a week to get through it. You didn't think she really did all those things? Candace? Do you mind? (He takes out a pen as to sign her cast)"
Jeremy,"Oh, hey, Candace, I see you've sent me some pictures. I can't wait to check 'em out later when I take my break."
Jeremy,"Hey, Candace. It's really nice of you to make something for me. I can't wait to see what you've come up with."
Jeremy,"Yeah, it's new. I'm so bored. Feels like by the time my shift is over, I'll be a part of the fossil exhibit."
Jeremy-2,"I didn't know they were your brothers, but I should've known. They're smart and courageous, just like you."
Jeremy,"An Anglophile such as myself? (he realizes what she is referring to) Oh, ha! I get it. Well...yes. I could listen to you speak like that all day."
Jeremy,"Oh, man. Your sister's entered us in some big dance show. And, you know, I just don't wanna let her down."
Jeremy,"I didn't know you did water sports, 'cause I'm going to the Extreme Water Park today. Why don't you come?"
Jeremy,"You know, your brothers are all right. Hey, are you okay? (Candace points to the ground) Oh, afraid of heights. Don't worry, I got ya."
Jeremy,That? That's not your present. That's my drain unclogger. I don't know why I carry that around with me.
Jeremy,"Yeah, it was weird... You and I were in this Dixieland band and there was an iguana playing an oboe..."
Jeremy,"Oh, I remember that! In grade school, a pretty girl loaned me that pencil and I've kept it ever since."
Jeremy,I just got the new Destruction Mayhem 3 game. I thought maybe you'd like to come over and try it out.
Jeremy,"Candace, I can't do this. All those great dance moves I've been doing today? Well, it was actually..."
Jeremy,"Hey, Candace, look! I did it. I wrote a letter to Santa saying in great detail what gift I want most."
Jeremy,"Candace, I'd really like to help you with your latest busting endeavor, but I have customers waiting. (points to the band singing in line)"
Jeremy,"Yeah. My room was covered in flyers, so I came over. I like LARPing. I get it if you think it's lame."
Jeremy,"Ta-da! Your brothers have opened the trendiest restaurant in town, and this is where I'm taking you."
Jeremy,I'm havin' a hard time gettin' there. (Cut to outside the car to reveal a huge traffic jam.) Looks like this whole town is going to this cool new car wash.
Jeremy,"Here, come on. Let's see what we can do about that. I've got a glass of water with your name on it."
Jeremy,Candace? I really don't mind waiting a bit. It's actually kinda fun just hanging out here with you.
Jeremy,"I saw ya on TV and just wanted to congratulate you. I guess you're, like, on a whole new level now."
Jeremy,"You ready for your bath, huh, boy? Who loves Candace? Oh, who's a beautiful boy? Who loves Candace?"
Jeremy,"Hey, Candace. I'm taking my mom's car to this crazy new car wash. Would you like to go for a ride?"
Jeremy,"Well, yeah, I used the...ugh, hold on! (He runs to the opposite side of the bridge) Yeah, I used the G-word. It doesn't freak you out, does it?"
Jeremy,"Hey, Candace. I don't know what all that was about before, but I wanted to give you your present."
Jeremy,"No, not weird, it's just-- (a customer walks up) Oh, wait, I got a customer, Candace. I'll - I'll call you later, okay?"
Jeremy,"You know, my dad goes on and on about the cafeteria here, and I think he's right. This food is..."
Jeremy,"I'm really glad you wanted to come over, Candace. Most girls really aren't into stuff like this."
Jeremy,I'm just glad you're not one of those people who freaks out just because someone cancels a date.
Jeremy,"Way! I'm excited to see what you two come up with! But you better get started, time's a-tickin'!"
