Name,Dialog
Ferb,"Give up?!? GIVE UP?!? The day may come when we'll give up on fruitless searches after a mere eleven minutes, but that day is not today! The day may come when our favorite reptile may be lost from our memories and his enduring love of mushrooms forgotten, but that day is not today! (At this point, several passersby gather around to hear this speech.) Today we search! We will search for him in the streets, we will search for him in the trenches, we will search for him in the alleys and the mini-malls and the cul-de-sacs of this fair land. We'll search for him in the multilevel car parks and municipal recreational facilities. (A truck labeled British Imports with a Union Jack on it drives up behind him, giving the appropriate patriotic feel.) And we few. We happy few. We small band of brothers — a-and girl from across the street. We shall not cease 'til he is found!"
Ferbalot,"Behold, evil wizard Malifishmirtz. (draws sword) I hold the sword Excaliferb. This mystical vorpal blade was given to me by the Lady of the Puddle. Get a good look at it, for it is the instrument of your demise! (The blade of the sword falls off the hilt) Well, uh, okay. So big deal, the end's come off."
Ferb,"Well, ever since George Shaw wrote the first description of the platypus for highly skeptical European scientists in 1798, this unique creature has become synonymous with the word ""impossible."""
Ferb,"It sounded like it might have been a large cylindrical object colliding with a huge flaming rock, sending them both careening into space. (Beat.) Or maybe just the building settling."
Ferb,"(reciting the song he sang with Phineas in the Rally) Because she's a tire-spinning, gear-grinding, clutch-burning, backfiring, paint-trading, red-lining, overheating, throttle-stomping truck drivin' girl."
Ferb,"Candace Suit and Klimpaloon the Magical Old-Timey Bathing Suit already have the same last name. Perhaps they are ""suited"" for each other after all."
Ferb,"Well, I guess perhaps the universe wants somethings left un-photographed. Like Chupacabras, or...group photos where everyone has their eyes open."
Ferb,"Well, we can't see into the capsule, but your second molar has a cavity. And it looks like Mrs. Garcia-Shapiro is making kreplach tortillas."
Ferb,"(while shuffling the cards) Actually, the Babylonians had been defunct as a distinct culture for a millennium prior to the introduction of playing cards in India."
Ferb,"All right, cowboys and cowgirls, it's time to get along, little doggy. Or even a short little doggy. I'm here all week. Try the veal!"
Ferb,"Well, if such a creature did exist, I believe its habitat and safety would be all of our responsibility to look after and protect."
Ferb,"Actually, those are stocks; a pillory forces the wearer to remain upright, exposing them to poking and prodding from passers-by."
Darth Ferb,"I found this: the Sith-inator. And I've modified it so I can create an army of Sith warriors. Join me on the Dark Side, brother."
Ferb,"Once they've replaced more than 51% of all the humans, they can assume control of the earth for their own nefarious purposes."
Ferb,"The cartilaginous fibers from the bovine patella structure, that gelatin's extracted from, gives it that fun, bouncy quality."
Ferb,"Well, we were all watching it, and Quantum Theory states that the mere observation of an experiment changes its outcome."
Ferb,"Where ice cream is made from dairy products and turned vigorously with air, sorbet is made entirely out of fancy people."
Ferb,"Well, photosynthesis will start creating oxygen and then eventually an atmosphere. Our bovine friends will be fine."
Ferb,That's strange. I was convinced that he was an anthropomorphic platypus. Huh. What with the beaver tail and all.
Ferb,"""Auld Lang Syne"" literally means ""old long ago,"" but I'd rather think of New Year's as an unspoiled universe. (ball explodes into fireworks)"
Ferb,Hmm...what assurance would we have that everyone else would also break into song and do the same thing?
Ferb,"Well, it occurs to me that perhaps not all of the modifications I made are technically ""Street Legal""."
Ferb,"The scope of possibilities in this world is as vast as the ocean, and is as limitless as the cosmos."
Ferb,"You know, in retrospect, I question the inclusion of a self-destruct button in the first place."
Ferb,That's a solution to the Gordian Knot that even Alexander the Great wouldn't have come up with. (Candace finishes swallowing all of the knot. Linda walks into the backyard.)
Ferb,"(Gives Candace a cup of tea) Some tea with honey would help that throat. And, there's crumpets in the conservatory as well. (He walks off)"
Ferb,"Um, hello? Entire lower half of amazing superhero here?! (He sighs) I guess there's no glory in thighs."
Ferb,"Drusselstein is a rustic Eastern European country, whose primary export is Doonkelberries."
Ferb,That's not just any bird. That's a rare whale song-singing double-breasted angle hooper...
Ferb,(showing a book) The only known photo is this blurry one where they camouflaged themselves as a Sasquatch.
Ferb,It appears as though we've been transported into some sort of...inter-galactic hoosegow.
Ferb,"They say, the step you're about to take is the beginning of your greatest adventure yet."
The real Ferb,"Couldn't be. That Phineas had four white stripes on his shirt, and you only have three."
Ferb,"No worries, bro! We're just gonna hot dog this honker past the bone-yard to the sand."
Ferb,"Well, if you reverse-engineer the human heart, you're bound to find love at its core."
Ferb,"Perhaps the problem is not that the house is too small, but that we are too big."
Ferb,And she seems to have acquired an upper-class Drusselsteinian speech pattern.
Ferb,"Or the Sub Lyric Pile Killabuster with Onion on Marble in Salzburg, Austria."
Ferb,"Actually, I think ventricles is already included in gross squishy red stuff."
Ferb,I sure hope this cold weather isn't affecting Mum and Dad's cave adventures.
Ferb,"Well, wherever it landed, I hope they can handle a party of that magnitude."
Ferb,(sits up) It's over 167 feet high. It's also tremendously popular with daredevils.
Ferb,"If it's all the same with you, Father, we're going to build the machine."
Ferb,"If we hadn't been able to invent something soon, I was going to scream. (He and Isabella walk over to join Phineas, leaving Baljeet alone)"
Ferb,"I believe we're waiting for Rover to put the molecular separator down. (Sure enough, while the kids were distracted, Rover picked up the contraption in his mouth and is now racing out the backyard gate. Bad dog)"
Ferb,And with handsome movie actor Vance Ward. He seems much faster on TV.
Ferb,"Personally, I'm looking forward to cheese that comes in aerosol cans."
Ferb,"Well, either that or everything else in the universe just got bigger."
Ferb,"The probability of a humanoid vegetable hybrid is exceedingly remote. (He picks up a skull and hurls it at the Jack-O-Lantern, which sparks and sputters and falls the ground)"
Ferb,No. You must get that disc to the Rebels. We cannot risk our mission.
Ferb,"Well, sometimes if you love somebody, you have to meet them halfway."
Ferb,"Oh, that's the self-destruct button. (pushes remote) The alarm is on the other side."
Ferb,"We don't, however, have a licorice dispenser. That was a nice touch."
Ferb,"If opportunity doesn't knock, build a door. Or a hoop with a portal."
Ferb,Do you ever notice that in a certain light Buford looks...handsome?
Ferb,"You know, mummies had their brains pulled out through their nose."
Ferb,I...just remembered there's...something I need to do. You two go.
Ferb,"Well, you know what they say, if you love something, set it free."
Ferb,Good thing we installed a tracking chip after the llama incident.
Ferb,"(in the background) Cowgirls and cowpokes, welcome to the Flynn-Fletcher Bros' Rodeo!"
Ferb,"Well, we've had a lot of great days, but we only have one Perry."
Ferb,Plus there was that small matter of circumnavigating the globe.
Ferb,Guess they knew a T-Rex's weakness is also its Achilles' heel.
